               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.048132,            0.021828,           0.0086251,              0.7692,             0.76302,             0.79018,             0.48976,            0.042986,             0.01514,            0.014871,            0.002872,            0.002872,            0.002872
                  38,             0.04909,            0.018243,           0.0099218,             0.80128,                0.75,             0.77145,             0.46087,            0.044303,            0.014836,            0.014729,            0.002674,            0.002674,            0.002674
                  39,            0.044788,            0.015368,           0.0088533,             0.71668,                0.75,             0.77463,             0.44529,            0.042612,            0.014704,             0.01423,            0.002476,            0.002476,            0.002476
                  40,            0.047213,            0.018852,            0.008435,             0.81893,              0.7483,             0.76357,             0.40733,            0.043243,              0.0148,            0.013341,            0.002278,            0.002278,            0.002278
                  41,            0.045413,            0.014587,           0.0088283,             0.81484,                0.75,             0.76797,             0.47262,            0.041603,            0.014593,            0.013332,             0.00208,             0.00208,             0.00208
                  42,            0.044872,            0.016111,           0.0087268,             0.82142,                0.75,             0.76387,             0.49106,            0.041312,            0.014464,            0.013302,            0.001882,            0.001882,            0.001882
                  43,            0.045026,            0.018686,           0.0084605,             0.79222,             0.77241,              0.7643,             0.48606,            0.039697,            0.014017,            0.013218,            0.001684,            0.001684,            0.001684
                  44,            0.039669,            0.017072,           0.0075157,              0.8228,                0.75,             0.76459,             0.52035,            0.040059,            0.013457,            0.013471,            0.001486,            0.001486,            0.001486
                  45,            0.046029,            0.018056,           0.0080055,             0.91359,             0.73148,             0.77601,             0.51811,            0.038773,            0.013448,            0.013751,            0.001288,            0.001288,            0.001288
                  46,            0.046685,            0.017322,             0.01002,             0.91497,             0.73148,             0.76744,             0.50394,            0.038831,            0.013336,            0.014387,             0.00109,             0.00109,             0.00109
                  47,            0.039804,            0.014641,            0.007359,             0.77336,             0.76852,              0.7684,             0.52727,            0.039929,            0.013266,            0.014764,            0.000892,            0.000892,            0.000892
                  48,            0.042687,            0.016374,           0.0084215,             0.86796,             0.73148,             0.76544,             0.49869,            0.039433,            0.013188,            0.014817,            0.000694,            0.000694,            0.000694
                  49,            0.041276,            0.019268,           0.0069271,               0.896,             0.71296,             0.74563,             0.52268,            0.039404,            0.013268,            0.014708,            0.000496,            0.000496,            0.000496
                   0,             0.12091,            0.031333,            0.044029,           0.0002381,            0.055556,          0.00020244,          2.6743e-05,             0.10736,            0.030379,            0.042743,              0.0883,              0.0013,              0.0013
                   1,             0.11073,            0.031948,            0.039761,           0.0016635,             0.31481,           0.0076094,            0.001824,            0.094213,            0.029085,            0.035746,            0.075611,           0.0026109,           0.0026109
                   2,             0.10117,            0.031317,            0.035523,            0.026711,              0.2963,             0.20665,            0.062233,            0.086935,            0.028628,            0.030742,            0.062829,           0.0038294,           0.0038294
                   3,            0.093247,            0.031199,            0.031362,            0.001042,             0.30556,           0.0014127,          0.00048619,            0.096262,             0.02604,             0.02834,            0.049955,           0.0049555,           0.0049555
                   4,            0.093761,            0.030842,            0.028152,            0.001743,             0.36111,            0.011008,           0.0030886,            0.094822,            0.024637,            0.026552,            0.036989,           0.0059892,           0.0059892
                   5,            0.093961,            0.030546,             0.02652,           0.0044058,             0.62037,            0.047213,            0.012729,            0.086763,             0.02468,            0.025248,             0.02393,           0.0069305,           0.0069305
